,hashOfGame,uuid,playerCard1,playerCard2,action,amount,pot,levelOfBetting,cardsOnBoard,roundCount,isOnSmallblind,isOnBigBlind,smallBlindAmount,bigBlindAmount,stackOfPlayer,stackOfOpponent,sklanskyClass,EHS,HS,PPOT,NPOT,handStrengthFromLibrary,opponentAgressivnessScore,opponentAgressivnessScoreLast7Round,winnerOfRound,finalPotInGame
0,04860dfa4ab5613c1b4a30defc0c01def62424c8,risvwrngufgcdywesivwjw,SQ,S9,call,20.0,60.0,1.0,"[None, None, None, None, None]",1.0,1.0,0.0,20.0,40.0,1480.0,1460.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risvwrngufgcdywesivwjw,80
1,04860dfa4ab5613c1b4a30defc0c01def62424c8,woyuiidwhfwgggpgopuqen,CT,HK,raise,0.0,80.0,1.0,"[None, None, None, None, None]",1.0,0.0,1.0,20.0,40.0,1460.0,1460.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risvwrngufgcdywesivwjw,80
2,04860dfa4ab5613c1b4a30defc0c01def62424c8,woyuiidwhfwgggpgopuqen,D7,C5,call,20.0,60.0,1.0,"[None, None, None, None, None]",2.0,1.0,0.0,20.0,40.0,1440.0,1500.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,woyuiidwhfwgggpgopuqen,80
3,04860dfa4ab5613c1b4a30defc0c01def62424c8,risvwrngufgcdywesivwjw,D3,DT,raise,0.0,80.0,1.0,"[None, None, None, None, None]",2.0,0.0,1.0,20.0,40.0,1500.0,1420.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,woyuiidwhfwgggpgopuqen,80
4,04860dfa4ab5613c1b4a30defc0c01def62424c8,risvwrngufgcdywesivwjw,C9,D9,raise,20.0,60.0,1.0,"[None, None, None, None, None]",3.0,1.0,0.0,20.0,40.0,1480.0,1460.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,woyuiidwhfwgggpgopuqen,60
5,04860dfa4ab5613c1b4a30defc0c01def62424c8,woyuiidwhfwgggpgopuqen,D7,H7,raise,20.0,60.0,1.0,"[None, None, None, None, None]",4.0,1.0,0.0,20.0,40.0,1500.0,1440.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,risvwrngufgcdywesivwjw,60
6,04860dfa4ab5613c1b4a30defc0c01def62424c8,risvwrngufgcdywesivwjw,HA,DK,raise,20.0,60.0,1.0,"[None, None, None, None, None]",5.0,1.0,0.0,20.0,40.0,1480.0,1460.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,woyuiidwhfwgggpgopuqen,60
7,04860dfa4ab5613c1b4a30defc0c01def62424c8,woyuiidwhfwgggpgopuqen,D7,SK,raise,20.0,60.0,1.0,"[None, None, None, None, None]",6.0,1.0,0.0,20.0,40.0,1500.0,1440.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,risvwrngufgcdywesivwjw,60
8,04860dfa4ab5613c1b4a30defc0c01def62424c8,risvwrngufgcdywesivwjw,SJ,C4,raise,20.0,60.0,1.0,"[None, None, None, None, None]",7.0,1.0,0.0,20.0,40.0,1480.0,1460.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,woyuiidwhfwgggpgopuqen,60
9,04860dfa4ab5613c1b4a30defc0c01def62424c8,woyuiidwhfwgggpgopuqen,HT,H9,call,20.0,60.0,1.0,"[None, None, None, None, None]",8.0,1.0,0.0,20.0,40.0,1500.0,1440.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,risvwrngufgcdywesivwjw,120
10,04860dfa4ab5613c1b4a30defc0c01def62424c8,risvwrngufgcdywesivwjw,C9,D5,call,0.0,80.0,1.0,"[None, None, None, None, None]",8.0,0.0,1.0,20.0,40.0,1440.0,1480.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,risvwrngufgcdywesivwjw,120
11,04860dfa4ab5613c1b4a30defc0c01def62424c8,woyuiidwhfwgggpgopuqen,HT,H9,call,0.0,80.0,2.0,"['C4', 'HQ', 'D8', None, None]",8.0,0.0,0.0,20.0,40.0,1480.0,1440.0,4.0,0.0,0.263182238668,0.0,0.0,7094.0,1.0,0.0,risvwrngufgcdywesivwjw,120
12,04860dfa4ab5613c1b4a30defc0c01def62424c8,risvwrngufgcdywesivwjw,C9,D5,raise,40.0,80.0,2.0,"['C4', 'HQ', 'D8', None, None]",8.0,0.0,0.0,20.0,40.0,1440.0,1480.0,9.0,0.0,0.159574468085,0.0,0.0,7156.0,1.0,0.0,risvwrngufgcdywesivwjw,120
